==== Value feature statistics (timestamp: 1763434747, evaluations: 2958935) ====
Feature activation counts:
feature 3344: 21
feature 3345: 9
feature 3346: 7
feature 3347: 47
feature 3348: 486
feature 3349: 88
feature 3355: 1
feature 3356: 24
feature 3357: 2
feature 3358: 953
feature 3359: 1157
feature 3364: 9
feature 3365: 7
feature 3366: 56
feature 3367: 1306
feature 3368: 4
feature 3371: 22
feature 3373: 1
feature 3375: 49
feature 3376: 5
feature 3377: 709
feature 3378: 10
feature 3379: 122
feature 3380: 1156
feature 3381: 56
feature 3382: 1273
feature 3383: 3334
feature 3384: 1
feature 3385: 3846
feature 3386: 21
feature 3387: 3
feature 3388: 9
feature 3389: 1548
feature 3390: 312
feature 3391: 338
feature 3392: 3114
feature 3393: 12
feature 3394: 1
feature 3395: 2
feature 3396: 1
feature 3398: 46
feature 3399: 27
feature 3400: 5
feature 3401: 7
feature 3402: 167
feature 3403: 12
feature 3404: 45
feature 3405: 1229
feature 3406: 13
feature 3410: 5
feature 3411: 4
feature 3416: 1
feature 3419: 12
feature 3421: 60
feature 3422: 4
feature 3427: 8
feature 3433: 10
feature 3434: 12
feature 3436: 41
feature 3440: 2
feature 3441: 1
feature 3443: 35
feature 3444: 1
feature 3445: 331
feature 3446: 4
feature 3447: 221
feature 3448: 4
feature 3449: 4
feature 3450: 136
feature 3452: 1
feature 3457: 1
feature 3458: 66
feature 3466: 3
feature 3474: 16
feature 3482: 84
feature 3484: 5
feature 3487: 92
feature 3491: 13
feature 3501: 33
feature 3518: 2
feature 3551: 13
feature 3568: 7
feature 3574: 1
feature 3578: 2
feature 3579: 6
feature 3580: 11
feature 3603: 169
feature 3607: 4
feature 3609: 3
feature 3618: 30
feature 3626: 41
feature 3627: 1
feature 3630: 10
feature 3632: 4
feature 3633: 1
feature 3635: 1
feature 3677: 1
feature 3679: 3
feature 3683: 1
feature 3695: 1
feature 3705: 4
feature 3720: 13
feature 3728: 1
feature 3732: 8
feature 3739: 1
feature 3743: 16
feature 3756: 83
